soft_name,missing,TP,FN,FP,TN,optimal_th,Accuracy,precision,NPV,Sensitivity,Specificity,F1,MCC
CADD_splice+spliceAI,0,1.000000,2.000000,11.000000,7.000000,1.0000,0.3810,0.0833,0.7778,0.3333,0.3889,0.1333,-0.1964
CADD_splice+Trap,0,0.000000,3.000000,2.000000,16.000000,1.0000,0.7619,0.0000,0.8421,0.0000,0.8889,nan,-0.1325
CADD_splice+SPIDEX_dpsi,0,3.000000,0.000000,13.000000,5.000000,1.0000,0.3810,0.1875,1.0000,1.0000,0.2778,0.3158,0.2282
CADD_splice+SPIDEX_zscore,0,3.000000,0.000000,13.000000,5.000000,1.0000,0.3810,0.1875,1.0000,1.0000,0.2778,0.3158,0.2282
CADD_splice+pangolin,0,0.000000,3.000000,3.000000,15.000000,1.0000,0.7143,0.0000,0.8333,0.0000,0.8333,nan,-0.1667
CADD_splice+squirls,0,0.000000,3.000000,5.000000,13.000000,1.0000,0.6190,0.0000,0.8125,0.0000,0.7222,nan,-0.2282
CADD_splice+spliceogen,0,0.000000,3.000000,3.000000,15.000000,1.0000,0.7143,0.0000,0.8333,0.0000,0.8333,nan,-0.1667
spliceAI+Trap,0,1.000000,2.000000,11.000000,7.000000,1.0000,0.3810,0.0833,0.7778,0.3333,0.3889,0.1333,-0.1964
spliceAI+SPIDEX_dpsi,0,3.000000,0.000000,16.000000,2.000000,1.0000,0.2381,0.1579,1.0000,1.0000,0.1111,0.2727,0.1325
spliceAI+SPIDEX_zscore,0,3.000000,0.000000,16.000000,2.000000,1.0000,0.2381,0.1579,1.0000,1.0000,0.1111,0.2727,0.1325
spliceAI+pangolin,0,1.000000,2.000000,11.000000,7.000000,1.0000,0.3810,0.0833,0.7778,0.3333,0.3889,0.1333,-0.1964
spliceAI+squirls,0,1.000000,2.000000,11.000000,7.000000,1.0000,0.3810,0.0833,0.7778,0.3333,0.3889,0.1333,-0.1964
spliceAI+spliceogen,0,1.000000,2.000000,11.000000,7.000000,1.0000,0.3810,0.0833,0.7778,0.3333,0.3889,0.1333,-0.1964
Trap+SPIDEX_dpsi,0,3.000000,0.000000,13.000000,5.000000,1.0000,0.3810,0.1875,1.0000,1.0000,0.2778,0.3158,0.2282
Trap+SPIDEX_zscore,0,3.000000,0.000000,13.000000,5.000000,1.0000,0.3810,0.1875,1.0000,1.0000,0.2778,0.3158,0.2282
Trap+pangolin,0,0.000000,3.000000,3.000000,15.000000,1.0000,0.7143,0.0000,0.8333,0.0000,0.8333,nan,-0.1667
Trap+squirls,0,0.000000,3.000000,5.000000,13.000000,1.0000,0.6190,0.0000,0.8125,0.0000,0.7222,nan,-0.2282
Trap+spliceogen,0,0.000000,3.000000,3.000000,15.000000,1.0000,0.7143,0.0000,0.8333,0.0000,0.8333,nan,-0.1667
SPIDEX_dpsi+SPIDEX_zscore,0,3.000000,0.000000,13.000000,5.000000,1.0000,0.3810,0.1875,1.0000,1.0000,0.2778,0.3158,0.2282
SPIDEX_dpsi+pangolin,0,3.000000,0.000000,13.000000,5.000000,1.0000,0.3810,0.1875,1.0000,1.0000,0.2778,0.3158,0.2282
SPIDEX_dpsi+squirls,0,3.000000,0.000000,14.000000,4.000000,1.0000,0.3333,0.1765,1.0000,1.0000,0.2222,0.3000,0.1980
SPIDEX_dpsi+spliceogen,0,3.000000,0.000000,13.000000,5.000000,1.0000,0.3810,0.1875,1.0000,1.0000,0.2778,0.3158,0.2282
SPIDEX_zscore+pangolin,0,3.000000,0.000000,13.000000,5.000000,1.0000,0.3810,0.1875,1.0000,1.0000,0.2778,0.3158,0.2282
SPIDEX_zscore+squirls,0,3.000000,0.000000,14.000000,4.000000,1.0000,0.3333,0.1765,1.0000,1.0000,0.2222,0.3000,0.1980
SPIDEX_zscore+spliceogen,0,3.000000,0.000000,13.000000,5.000000,1.0000,0.3810,0.1875,1.0000,1.0000,0.2778,0.3158,0.2282
pangolin+squirls,0,0.000000,3.000000,6.000000,12.000000,1.0000,0.5714,0.0000,0.8000,0.0000,0.6667,nan,-0.2582
pangolin+spliceogen,0,0.000000,3.000000,4.000000,14.000000,1.0000,0.6667,0.0000,0.8235,0.0000,0.7778,nan,-0.1980
squirls+spliceogen,0,0.000000,3.000000,5.000000,13.000000,1.0000,0.6190,0.0000,0.8125,0.0000,0.7222,nan,-0.2282
CADD_splice+spliceAI+Trap,0,1.000000,2.000000,11.000000,7.000000,1.0000,0.3810,0.0833,0.7778,0.3333,0.3889,0.1333,-0.1964
CADD_splice+spliceAI+SPIDEX_dpsi,0,3.000000,0.000000,16.000000,2.000000,1.0000,0.2381,0.1579,1.0000,1.0000,0.1111,0.2727,0.1325
CADD_splice+spliceAI+SPIDEX_zscore,0,3.000000,0.000000,16.000000,2.000000,1.0000,0.2381,0.1579,1.0000,1.0000,0.1111,0.2727,0.1325
CADD_splice+spliceAI+pangolin,0,1.000000,2.000000,11.000000,7.000000,1.0000,0.3810,0.0833,0.7778,0.3333,0.3889,0.1333,-0.1964
CADD_splice+spliceAI+squirls,0,1.000000,2.000000,11.000000,7.000000,1.0000,0.3810,0.0833,0.7778,0.3333,0.3889,0.1333,-0.1964
CADD_splice+spliceAI+spliceogen,0,1.000000,2.000000,11.000000,7.000000,1.0000,0.3810,0.0833,0.7778,0.3333,0.3889,0.1333,-0.1964
CADD_splice+Trap+SPIDEX_dpsi,0,3.000000,0.000000,13.000000,5.000000,1.0000,0.3810,0.1875,1.0000,1.0000,0.2778,0.3158,0.2282
CADD_splice+Trap+SPIDEX_zscore,0,3.000000,0.000000,13.000000,5.000000,1.0000,0.3810,0.1875,1.0000,1.0000,0.2778,0.3158,0.2282
CADD_splice+Trap+pangolin,0,0.000000,3.000000,3.000000,15.000000,1.0000,0.7143,0.0000,0.8333,0.0000,0.8333,nan,-0.1667
CADD_splice+Trap+squirls,0,0.000000,3.000000,5.000000,13.000000,1.0000,0.6190,0.0000,0.8125,0.0000,0.7222,nan,-0.2282
CADD_splice+Trap+spliceogen,0,0.000000,3.000000,3.000000,15.000000,1.0000,0.7143,0.0000,0.8333,0.0000,0.8333,nan,-0.1667
CADD_splice+SPIDEX_dpsi+SPIDEX_zscore,0,3.000000,0.000000,13.000000,5.000000,1.0000,0.3810,0.1875,1.0000,1.0000,0.2778,0.3158,0.2282
CADD_splice+SPIDEX_dpsi+pangolin,0,3.000000,0.000000,13.000000,5.000000,1.0000,0.3810,0.1875,1.0000,1.0000,0.2778,0.3158,0.2282
CADD_splice+SPIDEX_dpsi+squirls,0,3.000000,0.000000,14.000000,4.000000,1.0000,0.3333,0.1765,1.0000,1.0000,0.2222,0.3000,0.1980
CADD_splice+SPIDEX_dpsi+spliceogen,0,3.000000,0.000000,13.000000,5.000000,1.0000,0.3810,0.1875,1.0000,1.0000,0.2778,0.3158,0.2282
CADD_splice+SPIDEX_zscore+pangolin,0,3.000000,0.000000,13.000000,5.000000,1.0000,0.3810,0.1875,1.0000,1.0000,0.2778,0.3158,0.2282
