soft_name,missing,TP,FN,FP,TN,optimal_th,Accuracy,precision,NPV,Sensitivity,Specificity,F1,MCC
CADD_splice+spliceAI,0,15.000000,9.000000,26.000000,211.000000,1.0000,0.8659,0.3659,0.9591,0.6250,0.8903,0.4615,0.4092
CADD_splice+Trap,0,9.000000,15.000000,20.000000,217.000000,1.0000,0.8659,0.3103,0.9353,0.3750,0.9156,0.3396,0.2672
CADD_splice+SPIDEX_dpsi,0,23.000000,1.000000,197.000000,40.000000,1.0000,0.2414,0.1045,0.9756,0.9583,0.1688,0.1885,0.1009
CADD_splice+SPIDEX_zscore,0,23.000000,1.000000,197.000000,40.000000,1.0000,0.2414,0.1045,0.9756,0.9583,0.1688,0.1885,0.1009
CADD_splice+pangolin,0,14.000000,10.000000,10.000000,227.000000,1.0000,0.9234,0.5833,0.9578,0.5833,0.9578,0.5833,0.5411
CADD_splice+squirls,0,15.000000,9.000000,60.000000,177.000000,1.0000,0.7356,0.2000,0.9516,0.6250,0.7468,0.3030,0.2374
CADD_splice+spliceogen,0,15.000000,9.000000,50.000000,187.000000,1.0000,0.7739,0.2308,0.9541,0.6250,0.7890,0.3371,0.2766
spliceAI+Trap,0,15.000000,9.000000,39.000000,198.000000,1.0000,0.8161,0.2778,0.9565,0.6250,0.8354,0.3846,0.3285
spliceAI+SPIDEX_dpsi,0,23.000000,1.000000,202.000000,35.000000,1.0000,0.2222,0.1022,0.9722,0.9583,0.1477,0.1847,0.0888
spliceAI+SPIDEX_zscore,0,23.000000,1.000000,202.000000,35.000000,1.0000,0.2222,0.1022,0.9722,0.9583,0.1477,0.1847,0.0888
spliceAI+pangolin,0,15.000000,9.000000,26.000000,211.000000,1.0000,0.8659,0.3659,0.9591,0.6250,0.8903,0.4615,0.4092
spliceAI+squirls,0,17.000000,7.000000,73.000000,164.000000,1.0000,0.6935,0.1889,0.9591,0.7083,0.6920,0.2982,0.2434
spliceAI+spliceogen,0,16.000000,8.000000,57.000000,180.000000,1.0000,0.7510,0.2192,0.9574,0.6667,0.7595,0.3299,0.2744
Trap+SPIDEX_dpsi,0,23.000000,1.000000,200.000000,37.000000,1.0000,0.2299,0.1031,0.9737,0.9583,0.1561,0.1862,0.0938
Trap+SPIDEX_zscore,0,23.000000,1.000000,200.000000,37.000000,1.0000,0.2299,0.1031,0.9737,0.9583,0.1561,0.1862,0.0938
Trap+pangolin,0,14.000000,10.000000,26.000000,211.000000,1.0000,0.8621,0.3500,0.9548,0.5833,0.8903,0.4375,0.3799
Trap+squirls,0,15.000000,9.000000,66.000000,171.000000,1.0000,0.7126,0.1852,0.9500,0.6250,0.7215,0.2857,0.2164
Trap+spliceogen,0,15.000000,9.000000,59.000000,178.000000,1.0000,0.7395,0.2027,0.9519,0.6250,0.7511,0.3061,0.2411
SPIDEX_dpsi+SPIDEX_zscore,0,23.000000,1.000000,197.000000,40.000000,1.0000,0.2414,0.1045,0.9756,0.9583,0.1688,0.1885,0.1009
SPIDEX_dpsi+pangolin,0,23.000000,1.000000,199.000000,38.000000,1.0000,0.2337,0.1036,0.9744,0.9583,0.1603,0.1870,0.0962
SPIDEX_dpsi+squirls,0,24.000000,0.000000,207.000000,30.000000,1.0000,0.2069,0.1039,1.0000,1.0000,0.1266,0.1882,0.1147
SPIDEX_dpsi+spliceogen,0,23.000000,1.000000,209.000000,28.000000,1.0000,0.1954,0.0991,0.9655,0.9583,0.1181,0.1797,0.0703
SPIDEX_zscore+pangolin,0,23.000000,1.000000,199.000000,38.000000,1.0000,0.2337,0.1036,0.9744,0.9583,0.1603,0.1870,0.0962
SPIDEX_zscore+squirls,0,24.000000,0.000000,207.000000,30.000000,1.0000,0.2069,0.1039,1.0000,1.0000,0.1266,0.1882,0.1147
SPIDEX_zscore+spliceogen,0,23.000000,1.000000,209.000000,28.000000,1.0000,0.1954,0.0991,0.9655,0.9583,0.1181,0.1797,0.0703
pangolin+squirls,0,17.000000,7.000000,64.000000,173.000000,1.0000,0.7280,0.2099,0.9611,0.7083,0.7300,0.3238,0.2738
pangolin+spliceogen,0,16.000000,8.000000,52.000000,185.000000,1.0000,0.7701,0.2353,0.9585,0.6667,0.7806,0.3478,0.2944
squirls+spliceogen,0,17.000000,7.000000,82.000000,155.000000,1.0000,0.6590,0.1717,0.9568,0.7083,0.6540,0.2764,0.2158
CADD_splice+spliceAI+Trap,0,15.000000,9.000000,39.000000,198.000000,1.0000,0.8161,0.2778,0.9565,0.6250,0.8354,0.3846,0.3285
CADD_splice+spliceAI+SPIDEX_dpsi,0,23.000000,1.000000,202.000000,35.000000,1.0000,0.2222,0.1022,0.9722,0.9583,0.1477,0.1847,0.0888
CADD_splice+spliceAI+SPIDEX_zscore,0,23.000000,1.000000,202.000000,35.000000,1.0000,0.2222,0.1022,0.9722,0.9583,0.1477,0.1847,0.0888
CADD_splice+spliceAI+pangolin,0,15.000000,9.000000,26.000000,211.000000,1.0000,0.8659,0.3659,0.9591,0.6250,0.8903,0.4615,0.4092
CADD_splice+spliceAI+squirls,0,17.000000,7.000000,73.000000,164.000000,1.0000,0.6935,0.1889,0.9591,0.7083,0.6920,0.2982,0.2434
CADD_splice+spliceAI+spliceogen,0,16.000000,8.000000,57.000000,180.000000,1.0000,0.7510,0.2192,0.9574,0.6667,0.7595,0.3299,0.2744
CADD_splice+Trap+SPIDEX_dpsi,0,23.000000,1.000000,200.000000,37.000000,1.0000,0.2299,0.1031,0.9737,0.9583,0.1561,0.1862,0.0938
CADD_splice+Trap+SPIDEX_zscore,0,23.000000,1.000000,200.000000,37.000000,1.0000,0.2299,0.1031,0.9737,0.9583,0.1561,0.1862,0.0938
CADD_splice+Trap+pangolin,0,14.000000,10.000000,26.000000,211.000000,1.0000,0.8621,0.3500,0.9548,0.5833,0.8903,0.4375,0.3799
CADD_splice+Trap+squirls,0,15.000000,9.000000,66.000000,171.000000,1.0000,0.7126,0.1852,0.9500,0.6250,0.7215,0.2857,0.2164
CADD_splice+Trap+spliceogen,0,15.000000,9.000000,59.000000,178.000000,1.0000,0.7395,0.2027,0.9519,0.6250,0.7511,0.3061,0.2411
CADD_splice+SPIDEX_dpsi+SPIDEX_zscore,0,23.000000,1.000000,197.000000,40.000000,1.0000,0.2414,0.1045,0.9756,0.9583,0.1688,0.1885,0.1009
CADD_splice+SPIDEX_dpsi+pangolin,0,23.000000,1.000000,199.000000,38.000000,1.0000,0.2337,0.1036,0.9744,0.9583,0.1603,0.1870,0.0962
CADD_splice+SPIDEX_dpsi+squirls,0,24.000000,0.000000,207.000000,30.000000,1.0000,0.2069,0.1039,1.0000,1.0000,0.1266,0.1882,0.1147
CADD_splice+SPIDEX_dpsi+spliceogen,0,23.000000,1.000000,209.000000,28.000000,1.0000,0.1954,0.0991,0.9655,0.9583,0.1181,0.1797,0.0703
CADD_splice+SPIDEX_zscore+pangolin,0,23.000000,1.000000,199.000000,38.000000,1.0000,0.2337,0.1036,0.9744,0.9583,0.1603,0.1870,0.0962
CADD_splice+SPIDEX_zscore+squirls,0,24.000000,0.000000,207.000000,30.000000,1.0000,0.2069,0.1039,1.0000,1.0000,0.1266,0.1882,0.1147
CADD_splice+SPIDEX_zscore+spliceogen,0,23.000000,1.000000,209.000000,28.000000,1.0000,0.1954,0.0991,0.9655,0.9583,0.1181,0.1797,0.0703
CADD_splice+pangolin+squirls,0,17.000000,7.000000,64.000000,173.000000,1.0000,0.7280,0.2099,0.9611,0.7083,0.7300,0.3238,0.2738
CADD_splice+pangolin+spliceogen,0,16.000000,8.000000,52.000000,185.000000,1.0000,0.7701,0.2353,0.9585,0.6667,0.7806,0.3478,0.2944
CADD_splice+squirls+spliceogen,0,17.000000,7.000000,82.000000,155.000000,1.0000,0.6590,0.1717,0.9568,0.7083,0.6540,0.2764,0.2158
spliceAI+Trap+SPIDEX_dpsi,0,23.000000,1.000000,203.000000,34.000000,1.0000,0.2184,0.1018,0.9714,0.9583,0.1435,0.1840,0.0863
spliceAI+Trap+SPIDEX_zscore,0,23.000000,1.000000,203.000000,34.000000,1.0000,0.2184,0.1018,0.9714,0.9583,0.1435,0.1840,0.0863
spliceAI+Trap+pangolin,0,15.000000,9.000000,39.000000,198.000000,1.0000,0.8161,0.2778,0.9565,0.6250,0.8354,0.3846,0.3285
spliceAI+Trap+squirls,0,17.000000,7.000000,78.000000,159.000000,1.0000,0.6743,0.1789,0.9578,0.7083,0.6709,0.2857,0.2277
spliceAI+Trap+spliceogen,0,16.000000,8.000000,66.000000,171.000000,1.0000,0.7165,0.1951,0.9553,0.6667,0.7215,0.3019,0.2416
