soft_name,missing,TP,FN,FP,TN,optimal_th,Accuracy,precision,NPV,Sensitivity,Specificity,F1,MCC
CADD_splice+RegSNPs,0,1.000000,0.000000,1.000000,6.000000,1.0000,0.8750,0.5000,1.0000,1.0000,0.8571,0.6667,0.6547
CADD_splice+SPIDEX_zscore_abs,0,1.000000,0.000000,4.000000,3.000000,1.0000,0.5000,0.2000,1.0000,1.0000,0.4286,0.3333,0.2928
CADD_splice+MMsplicing_abs,0,1.000000,0.000000,3.000000,4.000000,1.0000,0.6250,0.2500,1.0000,1.0000,0.5714,0.4000,0.3780
CADD_splice+SPIDEX_dpsi_abs,0,1.000000,0.000000,4.000000,3.000000,1.0000,0.5000,0.2000,1.0000,1.0000,0.4286,0.3333,0.2928
CADD_splice+spliceAI,0,1.000000,0.000000,1.000000,6.000000,1.0000,0.8750,0.5000,1.0000,1.0000,0.8571,0.6667,0.6547
CADD_splice+Trap,0,1.000000,0.000000,2.000000,5.000000,1.0000,0.7500,0.3333,1.0000,1.0000,0.7143,0.5000,0.4880
CADD_splice+SCAP,0,1.000000,0.000000,1.000000,6.000000,1.0000,0.8750,0.5000,1.0000,1.0000,0.8571,0.6667,0.6547
CADD_splice+MLCsplice,0,1.000000,0.000000,1.000000,6.000000,1.0000,0.8750,0.5000,1.0000,1.0000,0.8571,0.6667,0.6547
CADD_splice+pangolin,0,1.000000,0.000000,1.000000,6.000000,1.0000,0.8750,0.5000,1.0000,1.0000,0.8571,0.6667,0.6547
CADD_splice+squirls,0,1.000000,0.000000,1.000000,6.000000,1.0000,0.8750,0.5000,1.0000,1.0000,0.8571,0.6667,0.6547
RegSNPs+SPIDEX_zscore_abs,0,1.000000,0.000000,4.000000,3.000000,1.0000,0.5000,0.2000,1.0000,1.0000,0.4286,0.3333,0.2928
RegSNPs+MMsplicing_abs,0,1.000000,0.000000,3.000000,4.000000,1.0000,0.6250,0.2500,1.0000,1.0000,0.5714,0.4000,0.3780
RegSNPs+SPIDEX_dpsi_abs,0,1.000000,0.000000,4.000000,3.000000,1.0000,0.5000,0.2000,1.0000,1.0000,0.4286,0.3333,0.2928
RegSNPs+spliceAI,0,1.000000,0.000000,1.000000,6.000000,1.0000,0.8750,0.5000,1.0000,1.0000,0.8571,0.6667,0.6547
RegSNPs+Trap,0,1.000000,0.000000,2.000000,5.000000,1.0000,0.7500,0.3333,1.0000,1.0000,0.7143,0.5000,0.4880
RegSNPs+SCAP,0,1.000000,0.000000,1.000000,6.000000,1.0000,0.8750,0.5000,1.0000,1.0000,0.8571,0.6667,0.6547
RegSNPs+MLCsplice,0,1.000000,0.000000,1.000000,6.000000,1.0000,0.8750,0.5000,1.0000,1.0000,0.8571,0.6667,0.6547
RegSNPs+pangolin,0,1.000000,0.000000,1.000000,6.000000,1.0000,0.8750,0.5000,1.0000,1.0000,0.8571,0.6667,0.6547
RegSNPs+squirls,0,1.000000,0.000000,1.000000,6.000000,1.0000,0.8750,0.5000,1.0000,1.0000,0.8571,0.6667,0.6547
SPIDEX_zscore_abs+MMsplicing_abs,0,1.000000,0.000000,5.000000,2.000000,1.0000,0.3750,0.1667,1.0000,1.0000,0.2857,0.2857,0.2182
SPIDEX_zscore_abs+SPIDEX_dpsi_abs,0,1.000000,0.000000,3.000000,4.000000,1.0000,0.6250,0.2500,1.0000,1.0000,0.5714,0.4000,0.3780
SPIDEX_zscore_abs+spliceAI,0,1.000000,0.000000,4.000000,3.000000,1.0000,0.5000,0.2000,1.0000,1.0000,0.4286,0.3333,0.2928
SPIDEX_zscore_abs+Trap,0,1.000000,0.000000,4.000000,3.000000,1.0000,0.5000,0.2000,1.0000,1.0000,0.4286,0.3333,0.2928
SPIDEX_zscore_abs+SCAP,0,1.000000,0.000000,4.000000,3.000000,1.0000,0.5000,0.2000,1.0000,1.0000,0.4286,0.3333,0.2928
SPIDEX_zscore_abs+MLCsplice,0,1.000000,0.000000,4.000000,3.000000,1.0000,0.5000,0.2000,1.0000,1.0000,0.4286,0.3333,0.2928
SPIDEX_zscore_abs+pangolin,0,1.000000,0.000000,3.000000,4.000000,1.0000,0.6250,0.2500,1.0000,1.0000,0.5714,0.4000,0.3780
SPIDEX_zscore_abs+squirls,0,1.000000,0.000000,4.000000,3.000000,1.0000,0.5000,0.2000,1.0000,1.0000,0.4286,0.3333,0.2928
MMsplicing_abs+SPIDEX_dpsi_abs,0,1.000000,0.000000,5.000000,2.000000,1.0000,0.3750,0.1667,1.0000,1.0000,0.2857,0.2857,0.2182
MMsplicing_abs+spliceAI,0,1.000000,0.000000,3.000000,4.000000,1.0000,0.6250,0.2500,1.0000,1.0000,0.5714,0.4000,0.3780
MMsplicing_abs+Trap,0,1.000000,0.000000,4.000000,3.000000,1.0000,0.5000,0.2000,1.0000,1.0000,0.4286,0.3333,0.2928
MMsplicing_abs+SCAP,0,1.000000,0.000000,3.000000,4.000000,1.0000,0.6250,0.2500,1.0000,1.0000,0.5714,0.4000,0.3780
MMsplicing_abs+MLCsplice,0,1.000000,0.000000,3.000000,4.000000,1.0000,0.6250,0.2500,1.0000,1.0000,0.5714,0.4000,0.3780
MMsplicing_abs+pangolin,0,1.000000,0.000000,2.000000,5.000000,1.0000,0.7500,0.3333,1.0000,1.0000,0.7143,0.5000,0.4880
MMsplicing_abs+squirls,0,1.000000,0.000000,3.000000,4.000000,1.0000,0.6250,0.2500,1.0000,1.0000,0.5714,0.4000,0.3780
SPIDEX_dpsi_abs+spliceAI,0,1.000000,0.000000,4.000000,3.000000,1.0000,0.5000,0.2000,1.0000,1.0000,0.4286,0.3333,0.2928
SPIDEX_dpsi_abs+Trap,0,1.000000,0.000000,4.000000,3.000000,1.0000,0.5000,0.2000,1.0000,1.0000,0.4286,0.3333,0.2928
SPIDEX_dpsi_abs+SCAP,0,1.000000,0.000000,4.000000,3.000000,1.0000,0.5000,0.2000,1.0000,1.0000,0.4286,0.3333,0.2928
SPIDEX_dpsi_abs+MLCsplice,0,1.000000,0.000000,4.000000,3.000000,1.0000,0.5000,0.2000,1.0000,1.0000,0.4286,0.3333,0.2928
SPIDEX_dpsi_abs+pangolin,0,1.000000,0.000000,3.000000,4.000000,1.0000,0.6250,0.2500,1.0000,1.0000,0.5714,0.4000,0.3780
SPIDEX_dpsi_abs+squirls,0,1.000000,0.000000,4.000000,3.000000,1.0000,0.5000,0.2000,1.0000,1.0000,0.4286,0.3333,0.2928
