soft_name,missing,TP,FN,FP,TN,optimal_th,Accuracy,precision,NPV,Sensitivity,Specificity,F1,MCC
CADD_splice+RegSNPs,0,1.000000,0.000000,1.000000,14.000000,1.0000,0.9375,0.5000,1.0000,1.0000,0.9333,0.6667,0.6831
CADD_splice+SPIDEX_zscore_abs,0,1.000000,0.000000,9.000000,6.000000,1.0000,0.4375,0.1000,1.0000,1.0000,0.4000,0.1818,0.2000
CADD_splice+MMsplicing_abs,0,1.000000,0.000000,1.000000,14.000000,1.0000,0.9375,0.5000,1.0000,1.0000,0.9333,0.6667,0.6831
CADD_splice+SPIDEX_dpsi_abs,0,1.000000,0.000000,8.000000,7.000000,1.0000,0.5000,0.1111,1.0000,1.0000,0.4667,0.2000,0.2277
CADD_splice+spliceAI,0,1.000000,0.000000,1.000000,14.000000,1.0000,0.9375,0.5000,1.0000,1.0000,0.9333,0.6667,0.6831
CADD_splice+Trap,0,1.000000,0.000000,3.000000,12.000000,1.0000,0.8125,0.2500,1.0000,1.0000,0.8000,0.4000,0.4472
CADD_splice+SCAP,0,1.000000,0.000000,2.000000,13.000000,1.0000,0.8750,0.3333,1.0000,1.0000,0.8667,0.5000,0.5375
CADD_splice+MLCsplice,0,1.000000,0.000000,1.000000,14.000000,1.0000,0.9375,0.5000,1.0000,1.0000,0.9333,0.6667,0.6831
CADD_splice+pangolin,0,1.000000,0.000000,1.000000,14.000000,1.0000,0.9375,0.5000,1.0000,1.0000,0.9333,0.6667,0.6831
CADD_splice+squirls,0,1.000000,0.000000,2.000000,13.000000,1.0000,0.8750,0.3333,1.0000,1.0000,0.8667,0.5000,0.5375
RegSNPs+SPIDEX_zscore_abs,0,1.000000,0.000000,9.000000,6.000000,1.0000,0.4375,0.1000,1.0000,1.0000,0.4000,0.1818,0.2000
RegSNPs+MMsplicing_abs,0,1.000000,0.000000,0.000000,15.000000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
RegSNPs+SPIDEX_dpsi_abs,0,1.000000,0.000000,8.000000,7.000000,1.0000,0.5000,0.1111,1.0000,1.0000,0.4667,0.2000,0.2277
RegSNPs+spliceAI,0,1.000000,0.000000,0.000000,15.000000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
RegSNPs+Trap,0,1.000000,0.000000,2.000000,13.000000,1.0000,0.8750,0.3333,1.0000,1.0000,0.8667,0.5000,0.5375
RegSNPs+SCAP,0,1.000000,0.000000,1.000000,14.000000,1.0000,0.9375,0.5000,1.0000,1.0000,0.9333,0.6667,0.6831
RegSNPs+MLCsplice,0,1.000000,0.000000,0.000000,15.000000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
RegSNPs+pangolin,0,1.000000,0.000000,0.000000,15.000000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
RegSNPs+squirls,0,1.000000,0.000000,1.000000,14.000000,1.0000,0.9375,0.5000,1.0000,1.0000,0.9333,0.6667,0.6831
SPIDEX_zscore_abs+MMsplicing_abs,0,1.000000,0.000000,9.000000,6.000000,1.0000,0.4375,0.1000,1.0000,1.0000,0.4000,0.1818,0.2000
SPIDEX_zscore_abs+SPIDEX_dpsi_abs,0,1.000000,0.000000,9.000000,6.000000,1.0000,0.4375,0.1000,1.0000,1.0000,0.4000,0.1818,0.2000
